factives,hedges,implicatives,report_verbs,bias,negative_words,positive_words,negative_colloquial_words,positive_colloquial_words
عارف,واضح,يدير,يتهم,إسقاط ,أبو وجهين,فالح,مزوره,متحمس
يدري,فيما يبدو,يتذكر,اتهم,إجهاض,بوجهين,شاطر,مغترب,حماس
داري,يمكن,يزعج,يُقرّ,إيذاء ,مو طبيعي,كفو,مغلوب,اجودي
يعرف,ربما,يحصل,اقر,إساءة,غير طبيعي,يتفاخر ,معصبين,مو عنيف
مدرك,يظهر,يتجرأ,يضيف,تعسفي,بغيض,يزخر,مظلوم,مهم جدا
يدرك,ظهر,يتجرا,اعترف,يقبل,مكروه,كثرة,مظلومات,ما ينخاف عليه
نادم,يبدو,تجرؤ,يعترف,حساب,مقت شديد,وفرة,معاناتنا,ما يتقاوم
يندم,تقريبًا,رعايه,ينصح,اتهام,رجس,وفير,معايره,مانستغني عنه
ينسى,تقريبا,رعاية,يوافق,اتهم, عمل بغيض,يمكن الوصول إليها,مناقره,كويس
اكتشف,يفترض,يغامر,يُحذر,يقر,إحباط,يمكن الوصول,نشحد,فالح
يكتشف,المفروض,احتقر,يقول,يمثل,تم إحباطه,هتاف,هشاشه,شاطر
يتعلم,قدر معين,يسخف,يزعم,فعل,إجهاض,المشهود,الهم,جهود
باينه,حد معين,يهين,يعلن,إضافة,كشط,هتاف,همك,جهودكم
واضحة,مرحلة معينة,يحتقر,إجابة,يتلصق,كاشط,احتضان,وحيدا,النظامين
ملحوظة,مطالبة,ملائم,يعتذر,يتمسك,شديد الأنحدار,الاوسمة,مازق,المز
يلاحظ,يدعي,حذر,يجادل,يعترف,بشكل مفاجئ,الأوسمة,يتكل,المؤهلات
يراقب,ادعى,كارثة,بسأل,يتقدم,هرب,تسهيلي,كرها,المؤهلين
متصور,استطاع,مصيبة,يؤكد,يدافع عن,غياب,مسكن,كرهوه,الفائده
يتصور,ما اقدر,حاسة,يجزم,شأن,شارد الذهن,ينجز,فساد,الغالي
يتوقع,لا أستطيع,ينجح,أؤكد,بيؤكد ,متغيب عن العمل,متفوق,فشلك,الافضل
متوقع,شك,تكرم,افترض,بيثبت ,سخيف,مُتَفَوِّق,عنصريا,افضل
يتصور,مشكوك ,ينسى,إفترض جدلا,يؤكد,سخافة,إنجاز,عنصريه,اعزائي
يتذكر,بشكل أساسي,يفشل,يحذر,اعتداء ,بشكل سخيف,الإنجازات,عطاله,ارباح
يكشف,تقدير,يهمل,تباهى,عدوان,سخافة,دقيق,عسر,احلامك
يشوف,متأكد,أهمل,حذر,يوافق,إساءة,بدقة,عسير,احلامنا
يرى,متاكد,ينخفض,يكلف,هدف,سوء المعاملة,قابل للتحقيق,ظلم,احلامي
مستاء,مو متاكد,انخفاض,تكلفة,زعم ,الانتهاكات,إنجاز,شر,احترام
متضايق,مُقدَّر,يتجنب,استشهد,ادعاء,تَعَسُّفيّ,الإنجازات,حسن,احترم
زعلان,يشعر,ما يرضى,يطالب,يزعم,سيئة للغاية,يمكن تحقيقه,تمل,احترموا
سلى,أحس,يمتنع,مطالبة,يزعم,بشكل سيء,فطنة,تنحل,اجتزناها
كفاية,شعر,يختار,يوضح,يسمح,هاوية,قابلة للتكيف,تعب,اجتياز
كفى,مرارًا,قادر,يأمر,بديل,عرضي,التكيف,تحريش,يسامح
يزعج,من وجهة نظرنا,يقدر,تعليق,رهيب ,دنا منه,مناسب,القاسيه,مطلب
منطقي,عمومًا,يستطيع,يقارن,عجيب ,ملعون,قابل للتعديل,الاحقاد,مطلوبه
رعاية,يخمن,قوة,يشتكي,مدهش,اتهام,رائع,الأنانيه,محترمه
غريب,على العموم,يمنع,يتنازل,أمريكا,الاتهامات,بشكل مثير للإعجاب,اساء,محترمين
مثير للاهتمام,في معظم الحالات,تمنع,تتنازل,أمريكي,اتهم,الإعجاب,ابكي,متصالح
مناسب,في معظم الحالات,يحفظ,يستنتج,المرفق,يتهم,يُعجَب ب,اترزق,مبسوط
يعتذر,في رؤيتنا,يسمح,نستنتج,معاداة السامية,متهم,معجب,اتكاليه,مؤهل
آسف,يشير,متردد,يتأكد,مكافحة الإرهاب,بشكل متهم,الإعجاب,أكاذيب,مؤهلات
يثير,مبين,يتردد,يواجه,اعتذاري,تفاقم,بإعجاب,إجتياز,مؤهلين
مثير,إلى حد كبير,محاولة,مواجهة,يظهر,لاذع,محبوب,ابجح,كفاءات
,محتمل,يحاول,اهنىء,يتقدم,بشكل لاذع,أعشق,ابدلنا,كفاءه
,خاصة,,يهنىء,شرح ,وجع,المعشوق,ابشع,كفو
,يمكن,,تهنئة,وضّح ,مؤلم,العاشق,ابكاهم,فضل
,ربما,,يتنافس,عرب,آلام,العشق,اتعس,فخر
,قد,,ينافس,منطقة,مؤلم,بعشق,اتقوا,فرحا
,خاصة,,يعارض,يتجادل ,لاذع,بارع,اتهامات,كرماء
,غالباً,,يتعارض,يجادل,بفظاظة,ببراعة,اتهموه,متهنيه
,على العموم,,يوصَل,جيش,الحدة,تملق,اجانب,الوفاء
,ينبغي,,عداد,شرط,لاذع,يتملق,اجزم,امانه
,ربما,,ينتقد,يجزم,بحدة,متقدم,اجنبي,املنا
,معقول,,يناظر,هجوم,الحدة,ميزة,احبطت,تنجح
,بشكل معقول,,مناظرة,محاولة,مصر على رأيه,مفيد,احتكار,حبنا
,ممكن,,يقرر,يصف,بإصرار,مفيد,احتكروا,دعم
